0;1645;1645
1;1645;1758
2;1645;1959
3;1635;1635
4;1635;1681
5;1621;1621
6;1575;1575
7;1575;1794
8;1575;1682
9;1575;1669
10;1575;1690
11;1575;1792
12;1542;1542
13;1542;1681
14;1542;1661
15;1542;1723
16;1542;1760
17;1542;1638
18;1496;1496
19;1496;1789
20;1496;1714
21;1496;1558
22;1496;1663
23;1496;1568
24;1496;1514
25;1496;1832
26;1496;1545
27;1496;1539
28;1496;1616
29;1496;1669
30;1449;1449
31;1449;1577
32;1449;1591
33;1449;1623
34;1449;1712
35;1449;1677
36;1449;1604
37;1449;1733
38;1449;1633
39;1449;1786
40;1449;1488
41;1449;1753
42;1449;1669
43;1449;1790
44;1449;1455
45;1449;1587
46;1449;1701
47;1449;1664
48;1449;1554
49;1449;1461
50;1449;1574
51;1449;1878
52;1449;1813
53;1449;1713
54;1449;1745
55;1449;1664
56;1449;1681
57;1449;1748
58;1449;1725
59;1449;1623
60;1449;1500
61;1449;1699
62;1449;1612
63;1387;1387
64;1387;1593
65;1387;1497
66;1387;1616
67;1387;1505
68;1387;1697
69;1387;1867
70;1387;1747
71;1387;1811
72;1387;1831
73;1387;1638
74;1387;1749
75;1387;1675
76;1387;1876
77;1387;1694
78;1387;1670
79;1387;1742
80;1387;1661
81;1387;1640
82;1387;1735
83;1387;1999
84;1387;1698
85;1387;1837
86;1387;1489
87;1387;1573
88;1387;1749
89;1387;1768
90;1387;1526
91;1387;1615
92;1387;1698
